Phyla	Kingdom	Closest phyla	Ref
UBA1439	Pseudomonodati	Verrucomicrobiota	
UBA2233	Pseudomonodati	Pseudomonadota	
UBA3054	Pseudomonodati	Verrucomicrobiota	
UBA4055	Pseudomonodati	Bacteroidota	
UBA6262	Pseudomonodati	Omnitropha	
UBA6266	Pseudomonodati	Verrucomicrobiota	
UBA8248	Pseudomonodati	Nitrospirota	
UBA9089	Pseudomonodati	Omnitropha	
UBP13	incertae sedis		
UBP14	Pseudomonodati	Bacteroidota_A	
UBP15	incertae sedis		
UBP18	Pseudomonodati	Omnitropha	
UBP4	Pseudomonodati	Abyssobacteria	
UBP6	Pseudomonodati	Bdellovibrionota	
Verrucomicrobiota	Pseudomonodati		
Vulcanimicrobiota	incertae sedis		
WOR-3	incertae sedis		
Zhuqueibacterota	Pseudomonodati		
Zixibacteria	Pseudomonodati		
