Protein_id	Subfamily	Clade	Subclade	Group	Subgroup
Bac226_268774275_tax	1	30	8	34	57
Bac226_62375926_tax	1	30	8	34	57
Bac226_373813419_tax	1	30	8	34	57
Bac226_144375199_tax	1	30	8	34	57
Bac226_284939301_tax	1	30	8	34	57
Bac226_201867239_tax	1	30	8	34	57
Bac226_415509344_tax	1	30	8	34	57
Bac226_52474982_tax	1	30	8	34	57
Bac226_339857203_tax	1	30	8	34	57
Bac226_20188921_tax	1	30	8	34	57
Bac226_146697729_tax	1	30	8	34	57
Bac226_373049971_tax	1	30	8	34	57
Bac226_111393251_tax	1	30	8	34	57
Bac226_18626129_tax	1	30	8	34	57
Bac226_407371387_tax	1	30	8	34	57
Bac226_187492999_tax	1	30	8	34	57
Bac226_118385886_tax	1	30	8	34	57
Bac226_121954200_tax	1	30	8	34	57
Bac226_138319441_tax	1	30	8	34	57
Bac226_121952045_tax	1	30	8	34	57
Bac226_1160168_tax	1	30	8	34	57
Bac226_63920954_tax	1	30	8	34	57
Bac226_229288837_tax	1	30	8	34	57
Bac226_377079104_tax	1	30	8	34	57
Bac226_403302322_tax	1	30	8	34	57
Bac226_380540835_tax	1	30	8	34	57
Bac226_127681190_tax	1	30	8	34	57
Bac226_127970562_tax	1	30	8	34	57
Bac226_387819069_tax	1	30	8	34	57
Bac226_50522628_tax	1	30	8	34	57
Bac226_204652037_tax	1	30	8	34	57
Bac226_229289688_tax	1	30	8	34	57
Bac226_199365425_tax	1	30	8	34	57
Bac226_353308456_tax	1	30	8	34	57
Bac226_330267277_tax	1	30	8	34	57
Bac226_92008701_tax	1	30	8	34	57
Bac226_246966830_tax	1	30	8	34	57
Bac226_305328314_tax	1	30	8	34	57
Bac226_343700234_tax	1	30	8	34	57
Bac226_102746024_tax	1	30	8	34	57
Bac226_31636620_tax	1	30	8	34	57
Bac226_418379301_tax	1	30	8	34	57
Bac226_211771716_tax	1	30	8	34	57
Bac226_384279372_tax	1	30	8	34	57
Bac226_396152116_tax	1	30	8	34	57
Bac226_236417200_tax	1	30	8	34	57
Bac226_109695363_tax	1	30	8	34	57
Bac226_319962172_tax	1	30	8	34	57
Bac226_214830423_tax	1	30	8	34	57
Bac226_173583668_tax	1	30	8	34	57
Bac226_121953021_tax	1	30	8	34	57
Bac226_390289180_tax	1	30	8	34	57
Bac226_146695280_tax	1	30	8	34	57
Bac226_381349847_tax	1	30	8	34	57
Bac226_309961474_tax	1	30	8	34	57
Bac226_196541263_tax	1	30	8	34	159
Bac226_330269637_tax	1	30	8	34	159
Bac226_65433951_tax	1	30	8	34	160
Bac226_241367204_tax	1	30	8	34	160
Bac226_301214114_tax	1	30	8	34	163
Bac226_192781956_tax	1	30	8	34	163
Bac226_142119191_tax	1	30	8	34	163
Bac226_388272733_tax	1	30	8	34	163
Bac226_332755519_tax	1	30	8	34	163
Bac226_322530807_tax	1	30	8	34	163
Bac226_348135834_tax	1	30	8	34	163
Bac226_84529256_tax	1	30	8	34	163
Bac226_170144557_tax	1	30	8	34	163
Bac226_144375863_tax	1	30	8	34	163
Bac226_277710671_tax	1	30	8	34	163
Bac226_119002864_tax	1	30	8	34	163
Bac226_128187507_tax	1	30	8	34	174
Bac226_104288946_tax	1	30	8	34	174
Bac226_319124795_tax	1	30	8	34	174
Bac226_214830286_tax	1	30	8	34	178
Bac226_396151482_tax	1	30	8	34	178
Bac226_318047183_tax	1	30	8	34	178
Bac226_321945753_tax	1	30	8	34	178
Bac226_18626535_tax	1	30	8	34	pb_181
Bac226_143539037_tax	1	30	8	34	pb_181
Bac226_257855138_tax	1	30	8	34	pb_181
Bac226_389326857_tax	1	30	8	34	184
Bac226_60852038_tax	1	30	8	34	184
Bac226_415395307_tax	1	30	8	34	185
Bac226_386789329_tax	1	30	8	34	185
Bac226_24528863_tax	1	30	8	34	185
Bac226_252482628_tax	1	30	8	34	185
Bac226_137075981_tax	1	30	8	34	185
Bac226_403612428_tax	1	30	8	34	185
Bac226_18839627_tax	1	30	8	34	185
Bac226_314921498_tax	1	30	8	34	185
Bac226_231389477_tax	1	30	8	34	185
Bac226_180681367_tax	1	30	8	34	185
Bac226_13962944_tax	1	30	8	34	185
Bac226_284938309_tax	1	30	8	34	185
Bac226_263725824_tax	1	30	8	34	185
Bac226_116991875_tax	1	30	8	34	185
Bac226_226739591_tax	1	30	8	34	185
Bac226_25444430_tax	1	30	8	34	185
Bac226_2659827_tax	1	30	8	34	185
Bac226_47844953_tax	1	30	8	34	185
Bac226_191995387_tax	1	30	8	34	185
Bac226_34412636_tax	1	30	8	34	185
Bac226_128677540_tax	1	30	8	34	185
Bac226_371706183_tax	1	30	8	34	pbt_Bac226_371706183_tax
Bac226_200630016_tax	1	30	8	34	pbt_Bac226_200630016_tax
Bac226_169930419_tax	1	30	8	34	209
Bac226_146695358_tax	1	30	8	34	209
Bac226_24528896_tax	1	30	8	34	209
Bac226_264085088_tax	1	30	8	34	209
Bac226_284937116_tax	1	30	8	34	209
Bac226_144374969_tax	1	30	8	34	209
Bac226_318046415_tax	1	30	8	34	209
Bac226_128677209_tax	1	30	8	34	209
Bac226_214829182_tax	1	30	8	34	209
Bac226_389327178_tax	1	30	8	34	209
Bac226_200628766_tax	1	30	8	34	209
Bac226_255970780_tax	1	30	8	34	209
Bac226_277711110_tax	1	30	8	34	209
Bac226_240754723_tax	1	30	8	34	209
Bac226_345690150_tax	1	30	8	34	209
